year,prop_type,avg_dwelling_size,dwelling_type_perc,new_dwelling
2011,all_types,194.9,100.0,6994.0
2011,apartment,73.0,11.8,822.0
2011,scheme_hs,109.0,19.4,1358.0
2011,single_hs,240.0,68.8,4814.0
2012,all_types,200.8,100.0,4911.0
2012,apartment,65.0,9.1,446.0
2012,scheme_hs,116.0,19.6,964.0
2012,single_hs,241.0,71.3,3501.0
2013,all_types,196.1,100.0,4575.0
2013,apartment,74.0,10.3,473.0
2013,scheme_hs,125.0,25.2,1155.0
2013,single_hs,243.0,64.5,2947.0
2014,all_types,181.4,100.0,5518.0
2014,apartment,75.0,13.6,748.0
2014,scheme_hs,142.0,32.5,1795.0
2014,single_hs,232.0,53.9,2975.0
2015,all_types,172.7,100.0,7219.0
2015,apartment,83.0,9.3,673.0
2015,scheme_hs,137.0,45.7,3294.0
2015,single_hs,227.0,45.0,3252.0
2016,all_types,165.5,100.0,9821.0
2016,apartment,77.0,11.7,1149.0
2016,scheme_hs,136.0,51.4,5052.0
2016,single_hs,235.0,36.9,3620.0
2017,all_types,152.4,100.0,14296.0
2017,apartment,82.0,15.2,2179.0
2017,scheme_hs,129.0,55.2,7880.0
2017,single_hs,232.0,29.6,4237.0
2018,all_types,148.0,100.0,17872.0
2018,apartment,83.0,12.6,2243.0
2018,scheme_hs,127.0,61.3,10958.0
2018,single_hs,229.0,26.1,4671.0
2019,all_types,141.8,100.0,21126.0
2019,apartment,83.0,16.5,3484.0
2019,scheme_hs,123.0,59.3,12537.0
2019,single_hs,229.0,24.2,5105.0
2020,all_types,137.8,100.0,20574.0
2020,apartment,80.0,19.0,3909.0
2020,scheme_hs,120.0,56.8,11688.0
2020,single_hs,225.0,24.2,4977.0
2021,all_types,131.9,100.0,20553.0
2021,apartment,78.0,24.9,5126.0
2021,scheme_hs,116.0,52.0,10689.0
2021,single_hs,225.0,23.1,4738.0
2022,all_types,123.8,100.0,29822.0
2022,apartment,75.0,30.7,9147.0
2022,scheme_hs,118.0,50.8,15160.0
2022,single_hs,222.0,18.5,5515.0
